"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"doi:10.1109/LCA.2024.3514917","","503e4902f17e6a099560a0654ae130ce47d1731c","IntervalSim++: Enhanced Interval Simulation for Unbalanced Processor Designs","Haseung Bong","2025","IEEE-CAL","As processor microarchitecture is getting complicated, an accurate analytic model becomes crucial for exploring large processor design space within limited development time. An interval simulation is a widely used analytic model for processor designs in the early stage. However, it cannot accurately model modern microarchitecture, which has an unbalanced pipeline. In this work, we introduce IntervalSim++, an accurate analytic model for a modern microarchitecture design based on the interval simulation. We identify key components highly related to the unbalanced pipeline and propose new modeling techniques atop the interval simulation without incurring significant overheads. Our evaluations show IntervalSim++ accurately models a modern out-of-order processor with minimal overheads, showing 1% average CPI error and only 8.8% simulation time increase compared to the baseline interval simulation.","dblp","Computer Science","1","https://doi.org/10.1109/LCA.2024.3514917","10.1109/LCA.2024.3514917","2025-01-01","2026-04-08","",""
"doi:10.1109/LCA.2024.3516205","2501.02517","07e86c8b7c7be5cebfe13bc783556f4d29ab9dc5","Straw: A Stress-Aware WL-Based Read Reclaim Technique for High-Density NAND Flash-Based SSDs","Myoungjun Chun","2025","IEEE-CAL","Although read disturbance has emerged as a major reliability concern, managing read disturbance in modern NAND flash memory has not been thoroughly investigated yet. From a device characterization study using real modern NAND flash memory, we observe that reading a page incurs heterogeneous reliability impacts on each WL, which makes the existing block-level read reclaim extremely inefficient. We propose a new WL-level read-reclaim technique, called Straw, which keeps track of the accumulated read-disturbance effect on each WL and reclaims only heavily-disturbed WLs. By avoiding unnecessary read-reclaim operations, Straw reduces read-reclaim-induced page writes by 83.6% with negligible storage overhead.","dblp","Computer Science","2","https://doi.org/10.1109/LCA.2024.3516205","10.1109/LCA.2024.3516205","2025-01-01","2026-04-08","",""
"doi:10.1109/LCA.2024.3516057","","c0d8db03641d89b6949661f06c238caf5467bf7e","Electra: Eliminating the Ineffectual Computations on Bitmap Compressed Matrices","Chaithanya Krishna Vadlamudi","2025","IEEE-CAL","The primary computations in several applications, such as deep learning recommendation models, graph neural networks, and scientific computing, involve sparse matrix sparse matrix multiplications (SpMSpM). Unlike standard multiplications, SpMSpMs introduce ineffective computations that can negatively impact performance. While several accelerators have been proposed to execute SpMSpM more efficiently, they often incur additional overhead in identifying the effectual arithmetic computations. To solve this issue, we propose Electra, a novel approach designed to reduce ineffectual computations in bitmap-compressed matrices. Electra achieves this by i) performing logical operations on the bitmap data to know whether the arithmetic computation has a zero or non-zero value, and ii) implementing finer granular scheduling of non-zero elements to arithmetic units. Our evaluations suggest that on average, Electra achieves a speedup of 1.27× over the state-of-the-art SpMSpM accelerator with a small area overhead of 64.92 <inline-formula><tex-math notation=""LaTeX"">$\text{mm}^{2}$</tex-math><alternatives><mml:math><mml:msup><mml:mtext>mm</mml:mtext><mml:mn>2</mml:mn></mml:msup></mml:math><inline-graphic xlink:href=""vadlamudi-ieq1-3516057.gif""/></alternatives></inline-formula> based on 45 nm process.","dblp","Computer Science","6","https://doi.org/10.1109/LCA.2024.3516057","10.1109/LCA.2024.3516057","2025-01-01","2026-04-08","",""
"doi:10.1109/LCA.2024.3504579","","42f3fcf6e223c7aad79fb160f90356ee55ec9705","Characterization and Analysis of the 3D Gaussian Splatting Rendering Pipeline","Jiwon Lee","2025","IEEE-CAL","[abstract unavailable]","dblp","Computer Science","2","https://doi.org/10.1109/LCA.2024.3504579","10.1109/LCA.2024.3504579","2025-01-01","2026-04-08","",""
"doi:10.1109/LCA.2024.3522777","","a771dc62f88a9a4e79ec23011d1f8ccfe0c85f69","PINSim: A Processing In- and Near-Sensor Simulator to Model Intelligent Vision Sensors","Sepehr Tabrizchi","2025","IEEE-CAL","This letter introduces PINSim, a user-friendly and flexible framework for simulating emerging smart vision sensors in the early design stages. PINSim enables the realization of integrated sensing and processing near and in the sensor, effectively addressing challenges such as data movement and power-hungry analog-to-digital converters. The framework offers a flexible interface and a wide range of design options for customizing the efficiency and accuracy of processing-near/in-sensor-based accelerators using a hierarchical structure. Its organization spans from the device level upward to the algorithm level. PINSim realizes instruction-accurate evaluation of circuit-level performance metrics. PINSim achieves over <inline-formula><tex-math notation=""LaTeX"">$25,000\times$</tex-math><alternatives><mml:math><mml:mrow><mml:mn>25</mml:mn><mml:mo>,</mml:mo><mml:mn>000</mml:mn><mml:mo>×</mml:mo></mml:mrow></mml:math><inline-graphic xlink:href=""roohi-ieq1-3522777.gif""/></alternatives></inline-formula> speed-up compared to SPICE simulation with less than a 4.1% error rate on average. Furthermore, it supports both multilayer perceptron (MLP) and convolutional neural network (CNN) models, with limitations determined by IoT budget constraints. By facilitating the exploration and optimization of various design parameters, PiNSim empowers researchers and engineers to develop energy-efficient and high-performance smart vision sensors for a wide range of applications.","dblp","Computer Science","5","https://doi.org/10.1109/LCA.2024.3522777","10.1109/LCA.2024.3522777","2025-01-01","2026-04-08","",""
"doi:10.1109/LCA.2025.3525970","","6c681f0e3b11ee34a4095edac3e6456e54952b26","High-Performance Winograd Based Accelerator Architecture for Convolutional Neural Network","M. Vardhana","2025","IEEE-CAL","Convolutional Neural Networks are deployed mostly on GPUs or CPUs. However, due to the increasing complexity of architecture and growing performance requirements, these platforms may not be suitable for deploying inference engines. ASIC and FPGA implementations are appearing as superior alternatives to software-based solutions for achieving the required performance. In this article, an efficient architecture for accelerating convolution using the Winograd transform is proposed and implemented on FPGA. The proposed accelerator consumes 38% less resources as compared with conventional GEMM-based implementation. Analysis results indicate that our accelerator can achieve 3.5 TOP/s, 1.28 TOP/s, and 1.42 TOP/s for VGG16, ResNet18, and MobileNetV2 CNNs, respectively, at 250 MHz. The proposed accelerator demonstrates the best energy efficiency as compared with prior arts.","dblp","Computer Science","4","https://doi.org/10.1109/LCA.2025.3525970","10.1109/LCA.2025.3525970","2025-01-01","2026-04-08","",""
"doi:10.1109/LCA.2025.3529213","","898cd1779d6291b2ca458f73a9e5f84f3efa9942","SPAM: Streamlined Prefetcher-Aware Multi-Threaded Cache Covert-Channel Attack","E. Kritheesh","2025","IEEE-CAL","Last-level cache (LLC) covert-channels exploit the cache timing differences to transmit information. In recent works, the attacks rely on a single sender and a single receiver. Streamline is the state-of-the-art cache covert channel attack that uses a shared array of addresses mapped to the payload bits, allowing parallelization of the encoding and decoding of bits. As multi-core systems are ubiquitous, multiple senders and receivers can be used to create a high bandwidth cache covert channel. However, this is not the case, and the bandwidth per thread is limited by various factors. We extend Streamline to a multi-threaded Streamline, where the senders buffer a few thousand bits at the LLC for the receivers to decode. We observe that these buffered bits are prone to eviction by the co-running processes before they are decoded. We propose SPAM, a multi-threaded covert-channel at the LLC. SPAM shows that fewer but faster senders must encode for more receivers to reduce this time frame. This ensures resilience to noise coming from cache activities of co-running applications. SPAM uses two different access patterns for the sender(s) and the receiver(s). The sender access pattern of the addresses is modified to leverage the hardware prefetchers to accelerate the loads while encoding. The receiver access pattern circumvents the hardware prefetchers for accurate load latency measurements. We demonstrate SPAM on a six-core (12-threaded) system, achieving a bit-rate of 12.21 MB/s at an error rate of 9.02% which is an improvement of over 70% over the state-of-the-art multi-threaded Streamline for comparable error rates when 50% of the co-running threads stress the cache system.","dblp","Computer Science","0","https://doi.org/10.1109/LCA.2025.3529213","10.1109/LCA.2025.3529213","2025-01-01","2026-04-08","",""
"doi:10.1109/LCA.2025.3527458","","b41aaad653d92545eda935556587c3298f8b62d5","Cooperative Memory Deduplication With Intel Data Streaming Accelerator","Houxiang Ji","2025","IEEE-CAL","Memory deduplication plays a critical role in reducing memory consumption and the total cost of ownership (TCO) in hyperscalers, particularly as the advent of large language models imposes unprecedented demands on memory resources. However, conventional CPU-based memory deduplication can interfere with co-running applications, significantly impacting the performance of time-sensitive workloads. Intel introduced the on-chip Data Streaming Accelerator (DSA), providing high-performance data movement and transformation capabilities, including comparison and checksum calculation, which are heavily utilized in the deduplication. In this work, we enhance a widely-used kernel-space memory deduplication feature, Kernel Samepage Merging (ksm), by selectively offloading these operations to the DSA. Our evaluation demonstrates that CPU-based ksm can lead to 5.0–10.9× increase in the tail latency of co-running applications while DSA-based ksm limits the latency increase to just 1.6× while achieving comparable memory savings.","dblp","Computer Science","5","https://doi.org/10.1109/LCA.2025.3527458","10.1109/LCA.2025.3527458","2025-01-01","2026-04-08","",""
"doi:10.1109/LCA.2025.3533588","","c945589adaec9e6c528aeb84abf1024d14c8eae5","GPU-Centric Memory Tiering for LLM Serving With NVIDIA Grace Hopper Superchip","Woohyung Choi","2025","IEEE-CAL","This study investigates the performance of serving large language models (LLMs) with a focus on the high-bandwidth interconnect between GPU and CPU using a real NVIDIA Grace Hopper Superchip. This architecture features a GPU-centric memory tiering system, comprising a performance tier with GPU memory and a capacity tier with host memory. We revisit a conventional pipelined execution for LLM inference, utilizing host memory connected via NVLink alongside GPU memory. For the Llama-3.1 8B base (FP16) model, such a GPU-centric tiered memory system meets the target latency requirements for both prefill and decoding while improving throughput compared to the in-memory case, where all model weights are maintained in GPU memory. However, even with NVLink-connected CPU memory, meeting latency constraints for large models like the 70B and 405B FP16 models remains challenging. To address this, we explore the efficacy of model quantization (e.g., AWQ) along with the pipelined execution. Our evaluation reveals that the model quantization makes the pipelined execution a viable solution for serving large models. For the Llama-3.1 70B and 405B AWQ models, we show that the pipelined execution achieves 1.6× and 2.9× throughput improvement, respectively, compared to the in-memory only case, while meeting the latency constraint.","dblp","Computer Science","1","https://doi.org/10.1109/LCA.2025.3533588","10.1109/LCA.2025.3533588","2025-01-01","2026-04-08","",""
"doi:10.1109/LCA.2025.3530093","","c263e67124cedd215ab1eb684780daf6e72e4e21","Accelerating Page Migrations in Operating Systems With Intel DSA","Jongho Baik","2025","IEEE-CAL","Modern server-class CPUs are introducing special-purpose accelerators on the same chip to improve performance and efficiency for data-intensive applications. This paper presents a case for accelerating data migrations in operating systems with the Data Streaming Accelerator (DSA), a new feature by Intel. To the best of our knowledge, this is the first study that exploits a hardware-assisted data migration scheme in the operating system. We identify which Linux kernel components can benefit from the hardware acceleration, particularly focusing on the kernel subsystems that rely on the migrate_pages() kernel function. As the hardware accelerator is not suitable for transferring a small amount of data due to the HW setup overhead, this preliminary study concentrates on the design and implementation of accelerating migrate_pages() with DSA. We prototype a DSA-enabled Linux kernel and evaluate its effectiveness through two benchmarks demonstrating real-world page compaction (kcompactd) and promotion (kdamond) scenarios. In both cases, our prototype demonstrates improved throughput in page migration, benefiting both the kernel subsystem and applications.","dblp","Computer Science","3","https://doi.org/10.1109/LCA.2025.3530093","10.1109/LCA.2025.3530093","2025-01-01","2026-04-08","",""
