"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"doi:10.1109/TC.2025.3623585","","6d5996f1a432aeffb020aa38593f3158f1c6fa34","Enhanced EM-Based Malware Detection for IoT Devices Using Clock Frequency Analysis","Myeong-Jun Oh","2026","IEEE-TC","IoT devices are increasingly threatened by malware however, conventional electromagnetic (EM) side-channel detection methods have short effective range with increased complexity. This paper proposes a novel EM-based malware detection technique that addresses these limitations by focusing on the periodic behavior of the device’s clock frequency signal. The proposed approach monitors the processor’s clock emission for anomalous periodic patterns caused by malicious code, rather than scanning a broad spectrum of harmonics. This simplification enables real-time malware monitoring without additional hardware or intrusive instrumentation. The proposed method detects the presence of malware as well as identifies the malware type by analyzing the unique periodic signature it imprints on the clock signal. Experiments on an Arduino-based IoT device demonstrate that the technique achieves 100% detection accuracy across multiple malware variants and remains effective at distances up to 8 cm from the device, significantly outperforming prior EM analysis approaches in both range and practicality. These results suggest a lightweight and non-intrusive solution for enhancing IoT device security through clock frequency analysis.","dblp","Computer Science","0","https://doi.org/10.1109/TC.2025.3623585","10.1109/TC.2025.3623585","2026-01-01","2026-04-08","",""
"doi:10.1109/TC.2025.3623868","2407.07476","7476335a489fcb4ef81cef3923dace328221082e","A Transverse-Read-Assisted Fast Valid-Bits Collection in Stochastic Computing MACs for Energy-Efficient in-RTM DNNs","Jihe Wang","2026","IEEE-TC","It looks very attractive to coordinate racetrack-memory (RM) and stochastic-computing (SC) jointly to build an ultra-low power neuron-architecture. However, the above combination has always been questioned in a fatal weakness that the heavy valid-bits collection of Racetrack Memory-Magnetic Tunnel Junctions(RM-MTJ), a.k.a. accumulative parallel counters (APCs), cannot physically match the requirement for energy-efficient in-memory DNNs. Fortunately, a recently developed Transverse-Read (TR) provides a lightweight collection of valid-bits by detecting domain-wall resistance between a couple of MTJs on a single nanowire. In this work, we first propose a neuron-architecture that utilizes parallel TRs to build an ultra-fast valid-bits collection scheme specifically targeted at Multiply-Accumulate (MAC) units for in-RTM DNNs, where the multiplication operation inherently involves two operands. To solve the huge storage for full stochastic sequences caused by the limited TR banks, a hybrid coding, pseudo-fractal compression, is designed to generate stochastic sequences by segments. To overcome the misalignment by the parallel early-termination, an asynchronous schedule of TR is further designed to regularize the vectorization, in which the valid-bits from different lanes are merged in multiple RM-stacks for vector-level valid-bits collection. However, an inherent defect of TR, i.e., neighbor parts cannot be accessed simultaneously, could limit the throughput of the parallel vector multiplication, therefore, an interleaving data placement is used for full utilization of the memory bus among different vectors. The experimental results demonstrate that the SC-MAC architecture with TR achieves <inline-formula><tex-math notation=""LaTeX"">$2.88\boldsymbol{\times}$</tex-math><alternatives><mml:math><mml:mn>2.88</mml:mn><mml:mo mathvariant=""bold"">×</mml:mo></mml:math><inline-graphic xlink:href=""wang-ieq1-3623868.gif""/></alternatives></inline-formula>–<inline-formula><tex-math notation=""LaTeX"">$4.40\boldsymbol{\times}$</tex-math><alternatives><mml:math><mml:mn>4.40</mml:mn><mml:mo mathvariant=""bold"">×</mml:mo></mml:math><inline-graphic xlink:href=""wang-ieq2-3623868.gif""/></alternatives></inline-formula> speedup over CORUSCANT (the state-of-the-art process-in-RM architecture), while simultaneously reducing energy consumption by <inline-formula><tex-math notation=""LaTeX"">$1.26\boldsymbol{\times}$</tex-math><alternatives><mml:math><mml:mn>1.26</mml:mn><mml:mo mathvariant=""bold"">×</mml:mo></mml:math><inline-graphic xlink:href=""wang-ieq3-3623868.gif""/></alternatives></inline-formula>–<inline-formula><tex-math notation=""LaTeX"">$1.42\boldsymbol{\times}$</tex-math><alternatives><mml:math><mml:mn>1.42</mml:mn><mml:mo mathvariant=""bold"">×</mml:mo></mml:math><inline-graphic xlink:href=""wang-ieq4-3623868.gif""/></alternatives></inline-formula>.","dblp","Computer Science","0","https://doi.org/10.1109/TC.2025.3623868","10.1109/TC.2025.3623868","2024-07-10","2026-04-08","",""
"doi:10.1109/TC.2025.3624019","","d580cb25a526243a50d319de784457d3f0e9b04a","Monero-Based Group Covert Transmission With Fine-Grained Access Control","Zhenshuai Yue","2026","IEEE-TC","Public Blockchain-based covert transmission (CT) can address the limitations of traditional CT methods. Monero is a blockchain-based cryptocurrency with strong privacy protection techniques. However, existing Monero-based CT methods are limited to unicast scenarios. If applied directly to group CT scenarios, they would lead to a significant increase in transaction volume as the number of receivers increases. Meanwhile, existing Bitcoin/Ethereum-based group CT methods at least face three challenges, including susceptibility to key and identity inference attacks, information leakage during off-chain negotiations, and exposure of communication channels. This paper proposes a Monero-Based Group CT approach (MBGCT), which enables on-chain group key (used for receivers to filter covert transactions and extract messages) issuance, fine-grained access control of messages, and covert transaction identification and decryption isolation. MBGCT can ensure confidentiality of group keys, unforgeability of messages, integrity of each transmitted message, obscurity of covert channels, isolation of key generation from key management, and enhanced anonymity. As a result, MBGCT can not only prevent information leakage and channel exposure, but also resist the attacks of entity impersonation, data tampering, key and identity inference. We implemented MBGCT in Monero client v0.18.1.0, and validated its capability of high embedding rates, low transaction fees, and high execution efficiency on the Monero public chain Stagenet.","dblp","Computer Science","0","https://doi.org/10.1109/TC.2025.3624019","10.1109/TC.2025.3624019","2026-01-01","2026-04-08","",""
"doi:10.1109/TC.2025.3624213","","0c8395f733cbcaa27163fc7b21b893c87a5589da","CAMVA: An Extension Architecture of CNN Accelerators for Multi-View Acceleration","Junjie Chen","2026","IEEE-TC","Autopilot vehicles integrate additional views to capture comprehensive feature information, enhancing target detection accuracy. However, this integration imposes a higher computational burden on CNN accelerators in autopilot systems, potentially increasing the response latency of autopilot systems. It is a challenge for safety-critical autopilot systems. Traditionally, researchers have addressed this challenge by employing complex designs and processes to enhance the arithmetic capabilities of chips. In contrast, the paper proposes a simple technology that is an extension architecture of CNN accelerators for multi-view acceleration (CAMVA). The extension architecture utilizes the characteristic of multi-view approximation to enhance the sparsity of input features and dynamically reuse the approximated feature extraction results, accelerating CNN accelerators. This paper uses multi-view autonomous driving datasets (KITTI and nuScenes) to create two tasks, and evaluates the impact of CAMVA on 2D and 3D object detection networks by simulating their data flows. Results of 2D experiments show that for 2D object detection, the accuracy of the KITTI task decreases by 2.29%<inline-formula><tex-math notation=""LaTeX"">$\sim$</tex-math><alternatives><mml:math><mml:mo>∼</mml:mo></mml:math><inline-graphic xlink:href=""ding-ieq1-3624213.gif""/></alternatives></inline-formula>4.26%, while that of the nuScenes task decreases by 0.37%<inline-formula><tex-math notation=""LaTeX"">$\sim$</tex-math><alternatives><mml:math><mml:mo>∼</mml:mo></mml:math><inline-graphic xlink:href=""ding-ieq2-3624213.gif""/></alternatives></inline-formula>1.11%. For 3D object detection, the accuracy of the KITTI task decreases by 1.97%<inline-formula><tex-math notation=""LaTeX"">$\sim$</tex-math><alternatives><mml:math><mml:mo>∼</mml:mo></mml:math><inline-graphic xlink:href=""ding-ieq3-3624213.gif""/></alternatives></inline-formula>-0.22%. Then, the paper utilizes the pruning operation of CAMVA to create two subtasks, which are subsets of the KITTI with sparsity of 9.6% and 19.8%, respectively. It evaluates the performance, energy consumption, and RTL of CAMVA at the hardware architecture level based on the two subtasks. The results show that CAMVA enhances the performance of CNN accelerator by 1.04<inline-formula><tex-math notation=""LaTeX"">$\sim$</tex-math><alternatives><mml:math><mml:mo>∼</mml:mo></mml:math><inline-graphic xlink:href=""ding-ieq4-3624213.gif""/></alternatives></inline-formula>1.08<inline-formula><tex-math notation=""LaTeX"">$\times$</tex-math><alternatives><mml:math><mml:mo>×</mml:mo></mml:math><inline-graphic xlink:href=""ding-ieq5-3624213.gif""/></alternatives></inline-formula> and reduces energy consumption by 4.23%<inline-formula><tex-math notation=""LaTeX"">$\sim$</tex-math><alternatives><mml:math><mml:mo>∼</mml:mo></mml:math><inline-graphic xlink:href=""ding-ieq6-3624213.gif""/></alternatives></inline-formula>8.01% in the sparsity 9.6% subtask; additionally, it improves performance by 1.13<inline-formula><tex-math notation=""LaTeX"">$\sim$</tex-math><alternatives><mml:math><mml:mo>∼</mml:mo></mml:math><inline-graphic xlink:href=""ding-ieq7-3624213.gif""/></alternatives></inline-formula>1.34<inline-formula><tex-math notation=""LaTeX"">$\times$</tex-math><alternatives><mml:math><mml:mo>×</mml:mo></mml:math><inline-graphic xlink:href=""ding-ieq8-3624213.gif""/></alternatives></inline-formula> and decreases energy consumption by 14.13%<inline-formula><tex-math notation=""LaTeX"">$\sim$</tex-math><alternatives><mml:math><mml:mo>∼</mml:mo></mml:math><inline-graphic xlink:href=""ding-ieq9-3624213.gif""/></alternatives></inline-formula>25.97% in the sparsity 19.8% subtask. CAMVA increases CNN accelerator’s area by a mere 0.75%.","dblp","Computer Science","0","https://doi.org/10.1109/TC.2025.3624213","10.1109/TC.2025.3624213","2026-01-01","2026-04-08","",""
"doi:10.1109/TC.2025.3624262","2512.11856","2ba60bfc92bcc404aa796ea1f88e7826b34b4df8","GCoDE: Efficient Device-Edge Co-Inference for GNNs via Architecture-Mapping Co-Search","Ao Zhou","2026","IEEE-TC","Graph Neural Networks (GNNs) have emerged as the state-of-the-art graph learning method. However, achieving efficient GNN inference on edge devices poses significant challenges, limiting their application in real-world edge scenarios. This is due to the high computational cost of GNNs and limited hardware resources on edge devices, which prevent GNN inference from meeting real-time and energy requirements. As an emerging paradigm, device-edge co-inference shows potential for improving inference efficiency and reducing energy consumption on edge devices. Despite its potential, research on GNN device-edge co-inference remains scarce, and our findings show that traditional model partitioning methods are ineffective for GNNs. To address this, we propose GCoDE, the first automatic framework for <underline>G</underline>NN architecture-mapping <underline>Co</underline>-design and deployment on <underline>D</underline>evice-<underline>E</underline>dge hierarchies. By abstracting the device communication process into an explicit operation, GCoDE fuses the architecture and mapping scheme in a unified design space for joint optimization. Additionally, GCoDE’s system performance awareness enables effective evaluation of architecture efficiency across diverse heterogeneous systems. By analyzing the energy consumption of various GNN operations, GCoDE introduces an energy prediction method that improves energy assessment accuracy and identifies energy-efficient solutions. Using a constraint-based random search strategy, GCoDE identifies the optimal solution in 1.5 hours, balancing accuracy and efficiency. Moreover, the integrated co-inference engine in GCoDE enables efficient deployment and execution of GNN co-inference. Experimental results show that GCoDE can achieve up to <inline-formula><tex-math notation=""LaTeX"">$44.9\bf{\times}$</tex-math><alternatives><mml:math><mml:mn>44.9</mml:mn><mml:mrow><mml:mo>×</mml:mo></mml:mrow></mml:math><inline-graphic xlink:href=""yang-ieq1-3624262.gif""/></alternatives></inline-formula> speedup and 98.2% energy reduction compared to existing approaches across diverse applications and system configurations.","dblp","Computer Science","0","https://doi.org/10.1109/TC.2025.3624262","10.1109/TC.2025.3624262","2025-12-05","2026-04-08","",""
"doi:10.1109/TC.2025.3624373","","7b95f4efcc49cc78c5be898ca653eaa370c777ef","Galaxy: An Elastic FaaS Control Plane for Highly-Scalable Instance Scheduling","Yiming Li","2026","IEEE-TC","Function-as-a-Service (FaaS) is becoming increasingly prevalent, and the number of daily service requests in our system ByteDance has even reached 49.6 billion. These requests exhibit “3H” characteristics: <italic>high concurrency</italic>, <italic>high burstiness</italic>, and <italic>high fluctuation</italic>, causing the instance scheduling system to face severe bottlenecks even earlier than the data plane. In this paper, inspired by the idea of on-demand scaling of FaaS applications, we propose <italic>Galaxy</italic>, a highly scalable instance scheduling system for FaaS platforms. <italic>Galaxy</italic> decouples the instance scheduling system into functions and introduces a top controller to dynamically adjust the number of instances for each function based on the request load, effectively eliminating bottlenecks under high concurrent requests. We evaluate <italic>Galaxy</italic> with real-world workloads and the experimental results show that <italic>Galaxy</italic> can complete the scaling of over 89,935 instances within 1 second, excluding cold start overhead. <italic>Galaxy</italic> increases the scheduling throughput by <inline-formula><tex-math notation=""LaTeX"">$8.6\sim 12.7\times$</tex-math><alternatives><mml:math><mml:mn>8.6</mml:mn><mml:mo>∼</mml:mo><mml:mn>12.7</mml:mn><mml:mo>×</mml:mo></mml:math><inline-graphic xlink:href=""zhao-ieq1-3624373.gif""/></alternatives></inline-formula> compared to the existing control plane.","dblp","Computer Science","0","https://doi.org/10.1109/TC.2025.3624373","10.1109/TC.2025.3624373","2026-01-01","2026-04-08","",""
"doi:10.1109/TC.2025.3624472","","b1ab0817520677d974189d2fbb55fe3f1a24ed8f","Secure Broadcast Encryption With Reverse Firewalls on Corrupted Machines","Mengdi Ouyang","2026","IEEE-TC","In the era of expanding data volumes, users tend to encrypt data and upload their data to cloud servers. Broadcast encryption (BE) facilitates one to many secure data sharing and enjoys widespread adoption in many areas (e.g, Pay-TV, digital rights management, cloud storage). Nevertheless, the Snowden revelation in 2013 showed that attackers (e.g., manufacturers and supply-chain intermediaries) could tamper cryptographic implementations and insert backdoors to undermine cryptographic primitives. In this paper, we investigate the feasibility of algorithm substitution attacks (ASAs) on BE and formalize the corresponding adversarial model. Our findings reveal that attackers not only recover a user’s private key via public parameters but also extract a session key via any two consecutive headers, where the session key is encapsulated in the headers. Consequently, our ASAs pose a greater threat compared to previous ASAs targeting encryption primitives. To mitigate this problem, we adopt cryptographic reverse firewall (RF) as a countermeasure to achieve the security of BE against ASAs. We introduce the system model and security model of broadcast encryption with reverse firewalls (BE-RFs). Additionally, we construct an instance and provide a proof that our BE-RFs not only ensures selective identities and chosen plaintext secure (sID-CPA) but also is against ASAs. Subsequently, we implement BE-RFs on both Android devices and computers for experimental evaluations, confirming its efficacy in safeguarding security. Finally, we apply BE-RFs to data sharing in cloud storage.","dblp","Computer Science","0","https://doi.org/10.1109/TC.2025.3624472","10.1109/TC.2025.3624472","2026-01-01","2026-04-08","",""
"doi:10.1109/TC.2025.3624486","","aa667b51d96273761e12e000c2892cd0c0240666","NoSPF: Non-Stationary Long-Term Power Consumption Forecasting for Servers in Cloud Data Centers","Ruichao Mo","2026","IEEE-TC","Accurately forecasting power consumption in data center servers requires addressing the temporal distribution shift caused by dynamic resource demands. However, existing methods rely on global normalization, which cannot capture short-term localized shift, leading to unsatisfactory performance when forecasting non-stationary time series. To address this challenge, we propose a novel bi-level optimization framework for forecasting non-stationary long-term power consumption, named NoSPF. The framework employs hierarchical optimization to separately model the stationary and local non-stationary components of power consumption time series, offering a flexible, model-agnostic paradigm for time-series forecasting. Using Discrete Wavelet Transform (DWT) for multi-scale time–frequency analysis, NoSPF decomposes the series into non-stationary components driven by short-term fluctuations and stationary components that capture long-term trends. Furthermore, NoSPF integrates a lightweight Multi-Layer Perceptron (MLP) to predict the local non-stationary components, enhancing the framework’s forecasting accuracy by providing more precise approximations of the future power distribution. Extensive experiments on real-world server datasets demonstrate the superior performance and effectiveness of NoSPF.","dblp","Computer Science","0","https://doi.org/10.1109/TC.2025.3624486","10.1109/TC.2025.3624486","2026-01-01","2026-04-08","",""
"doi:10.1109/TC.2025.3624839","","9796148a347254dc2aab25fc0c49cae612ff3510","A Multi-Attribute Adaptive Fault Diagnosis Framework for Star Networks","Wenfei Liu","2026","IEEE-TC","With the proliferation of interconnection networks in mission-critical systems ranging from cloud computing infrastructures to large-scale data centers, the escalating structural complexity has intensified network vulnerability to malicious attacks and cyber warfare incidents. This article establishes a theoretical framework for evaluating network self-diagnostic capability through a novel <inline-formula><tex-math notation=""LaTeX"">$h$</tex-math><alternatives><mml:math><mml:mi>h</mml:mi></mml:math><inline-graphic xlink:href=""liu-ieq1-3624839.gif""/></alternatives></inline-formula>-extra <inline-formula><tex-math notation=""LaTeX"">$r$</tex-math><alternatives><mml:math><mml:mi>r</mml:mi></mml:math><inline-graphic xlink:href=""liu-ieq2-3624839.gif""/></alternatives></inline-formula>-component diagnosability metric, denoted as <inline-formula><tex-math notation=""LaTeX"">$\widehat{ec}_{r}^{h}(G)$</tex-math><alternatives><mml:math><mml:msubsup><mml:mrow><mml:mover><mml:mrow><mml:mi>e</mml:mi><mml:mi>c</mml:mi></mml:mrow><mml:mo stretchy=""true"">̂</mml:mo></mml:mover></mml:mrow><mml:mrow><mml:mi>r</mml:mi></mml:mrow><mml:mrow><mml:mi>h</mml:mi></mml:mrow></mml:msubsup><mml:mo stretchy=""false"">(</mml:mo><mml:mi>G</mml:mi><mml:mo stretchy=""false"">)</mml:mo></mml:math><inline-graphic xlink:href=""liu-ieq3-3624839.gif""/></alternatives></inline-formula>, which quantifies a network’s resilience under compound fault patterns. The proposed metric requires that after removing specific nodes, the remaining subgraph is required to preserve at least <inline-formula><tex-math notation=""LaTeX"">$r$</tex-math><alternatives><mml:math><mml:mi>r</mml:mi></mml:math><inline-graphic xlink:href=""liu-ieq4-3624839.gif""/></alternatives></inline-formula> connected components where every component maintains a node count exceeding <inline-formula><tex-math notation=""LaTeX"">$h$</tex-math><alternatives><mml:math><mml:mi>h</mml:mi></mml:math><inline-graphic xlink:href=""liu-ieq5-3624839.gif""/></alternatives></inline-formula>. Through rigorous combinatorial analysis, we derive closed-form expressions for star networks <inline-formula><tex-math notation=""LaTeX"">$S_{n}$</tex-math><alternatives><mml:math><mml:msub><mml:mi>S</mml:mi><mml:mrow><mml:mi>n</mml:mi></mml:mrow></mml:msub></mml:math><inline-graphic xlink:href=""liu-ieq6-3624839.gif""/></alternatives></inline-formula>, <inline-formula><tex-math notation=""LaTeX"">$\widehat{ec}_{2}^{1}(S_{n})=4n-9$</tex-math><alternatives><mml:math><mml:msubsup><mml:mrow><mml:mover><mml:mrow><mml:mi>e</mml:mi><mml:mi>c</mml:mi></mml:mrow><mml:mo stretchy=""true"">̂</mml:mo></mml:mover></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow><mml:mrow><mml:mn>1</mml:mn></mml:mrow></mml:msubsup><mml:mo stretchy=""false"">(</mml:mo><mml:msub><mml:mi>S</mml:mi><mml:mrow><mml:mi>n</mml:mi></mml:mrow></mml:msub><mml:mo stretchy=""false"">)</mml:mo><mml:mo>=</mml:mo><mml:mn>4</mml:mn><mml:mi>n</mml:mi><mml:mo>−</mml:mo><mml:mn>9</mml:mn></mml:math><inline-graphic xlink:href=""liu-ieq7-3624839.gif""/></alternatives></inline-formula> and <inline-formula><tex-math notation=""LaTeX"">$\widehat{ec}_{3}^{1}(S_{n})=6n-15$</tex-math><alternatives><mml:math><mml:msubsup><mml:mrow><mml:mover><mml:mrow><mml:mi>e</mml:mi><mml:mi>c</mml:mi></mml:mrow><mml:mo stretchy=""true"">̂</mml:mo></mml:mover></mml:mrow><mml:mrow><mml:mn>3</mml:mn></mml:mrow><mml:mrow><mml:mn>1</mml:mn></mml:mrow></mml:msubsup><mml:mo stretchy=""false"">(</mml:mo><mml:msub><mml:mi>S</mml:mi><mml:mrow><mml:mi>n</mml:mi></mml:mrow></mml:msub><mml:mo stretchy=""false"">)</mml:mo><mml:mo>=</mml:mo><mml:mn>6</mml:mn><mml:mi>n</mml:mi><mml:mo>−</mml:mo><mml:mn>15</mml:mn></mml:math><inline-graphic xlink:href=""liu-ieq8-3624839.gif""/></alternatives></inline-formula> when <inline-formula><tex-math notation=""LaTeX"">$n\geq 6$</tex-math><alternatives><mml:math><mml:mi>n</mml:mi><mml:mo>≥</mml:mo><mml:mn>6</mml:mn></mml:math><inline-graphic xlink:href=""liu-ieq9-3624839.gif""/></alternatives></inline-formula>, establishing the tight diagnosability bounds for this fundamental network topology. To enable practical implementation, we design a Trial System-based Fault Diagnosis Algorithm (TSFD) that features adaptive syndrome verification and parallel fault localization mechanisms. Extensive simulations demonstrate the accuracy of 98.99% fault detection with linear-time complexity <inline-formula><tex-math notation=""LaTeX"">$O(Nd)$</tex-math><alternatives><mml:math><mml:mi>O</mml:mi><mml:mo stretchy=""false"">(</mml:mo><mml:mi>N</mml:mi><mml:mi>d</mml:mi><mml:mo stretchy=""false"">)</mml:mo></mml:math><inline-graphic xlink:href=""liu-ieq10-3624839.gif""/></alternatives></inline-formula> in <inline-formula><tex-math notation=""LaTeX"">$n$</tex-math><alternatives><mml:math><mml:mi>n</mml:mi></mml:math><inline-graphic xlink:href=""liu-ieq11-3624839.gif""/></alternatives></inline-formula>-dimensional star networks. This work advances network reliability theory by introducing a multi-feature diagnosability measure for system-level diagnosis and developing an efficient diagnosis algorithm validated through large-scale network emulation.","dblp","Computer Science","0","https://doi.org/10.1109/TC.2025.3624839","10.1109/TC.2025.3624839","2026-01-01","2026-04-08","",""
"doi:10.1109/TC.2025.3624877","","ea74fb9eb89c53a72a0d65225c32c09e12810473","Enhancing Digit-Recurrence Floating-Point HUB Division","Julio Villaba-Moreno","2026","IEEE-TC","In this paper, we address the floating-point division operation under the Half Unit Biased (HUB) format. The proposed division algorithm is based on digit recurrence methods, which have been recently employed in modern processors. We extend previous work on digit recurrence HUB division by introducing techniques that enhance the division. Specifically, we demonstrate that prescaling the divisor and dividend, which makes the quotient-digit selection function independent of the divisor, is also valid for the HUB approach. Additionally, techniques such as prediction and high-radix are considered. We adapt an efficient high-radix division architecture recently proposed to the HUB approach, showing that the HUB format allows us to reduce the hardware in previous high-radix designs, as rounding to the nearest is performed by truncation, thereby eliminating the need for a final rounding operation. Experimental results corroborate the expected predictions. Although the HUB format is not IEEE-754 compliant, it maintains the same precision as its IEEE-754 counterpart for floating-point division in round-to-nearest mode.","dblp","Computer Science","0","https://doi.org/10.1109/TC.2025.3624877","10.1109/TC.2025.3624877","2026-01-01","2026-04-08","",""
